surveyDate,GACDINA,NOCDINA,SHCDINA,UOCDINA,DTCDINA,IVCDINA,PPCDINA,PRCDINA,NECDINA,AWCDINA,GAFDINA,NOFDINA,SHFDINA,UOFDINA,DTFDINA,IVFDINA,PPFDINA,PRFDINA,NEFDINA,AWFDINA,CEFDINA,TSFDINA
2001-07-31,-32.7,-15.6,-29.9,-16.6,-15.9,-28.8,-6.2,-23.0,-19.9,-20.4,39.0,47.8,46.4,8.1,-5.1,-16.7,11.3,-12.2,11.1,15.8,4.2,17.9
2001-08-31,-8.3,-1.8,1.8,-9.8,-19.6,-28.3,-7.9,-19.0,-26.3,-4.2,39.1,40.3,40.3,10.3,-5.4,-15.6,4.1,-11.8,12.6,10.6,3.8,8.9
2001-09-30,-5.9,34.2,-1.7,36.5,-1.8,40.0,-16.2,-1.9,-15.5,-11.4,-23.0,-15.7,-6.8,1.9,-20.5,-8.5,-26.9,13.2,-14.5,16.3,10.3,2.7
2001-10-31,-27.3,-22.7,-15.6,-25.2,-14.8,-23.9,-9.2,-23.2,-25.9,-16.9,31.7,35.5,34.7,6.7,-9.6,-6.4,0.8,-3.3,5.6,8.9,14.6,12.4
2001-11-30,-32.1,-21.8,-16.8,-26.9,-26.9,-22.6,-12.7,-26.0,-39.3,-15.3,36.4,41.4,42.6,5.2,-3.5,-10.3,6.1,-7.0,11.2,6.0,11.2,8.7
2001-12-31,-24.4,-26.0,-21.4,-23.7,-19.1,-19.8,-12.2,-23.7,-32.1,-17.6,57.3,56.5,58.0,14.5,-3.8,1.5,8.4,-1.5,32.1,21.4,11.5,10.7
2002-01-31,9.3,13.4,6.2,-15.5,-15.5,-20.6,-5.2,-15.5,-23.7,-10.3,53.6,54.6,48.5,10.3,-2.1,-14.4,3.1,-14.4,21.6,21.6,10.3,4.1
2002-02-28,20.0,18.0,19.0,1.0,-12.0,-11.0,-3.0,-10.0,-11.0,-6.0,67.0,68.0,66.0,22.0,2.0,5.0,10.0,-13.0,32.0,33.0,22.0,16.0
2002-03-31,27.5,35.8,28.4,2.8,-6.4,0.0,5.5,-8.3,2.8,8.3,70.6,69.7,72.5,26.6,0.0,7.3,19.3,-2.8,33.9,28.4,30.3,16.5
2002-04-30,28.0,29.0,24.0,-3.0,-6.0,-1.0,12.0,-10.0,2.0,17.0,72.0,73.0,73.0,25.0,6.0,4.0,23.0,-2.0,33.0,27.0,22.0,18.0
2002-05-31,22.7,15.5,21.8,-5.5,-8.2,-6.4,17.3,-4.5,3.6,7.3,63.6,60.9,61.8,20.0,-2.7,-16.4,14.5,-0.9,29.1,24.5,27.3,20.0
2002-06-30,8.2,13.6,20.0,-8.2,-11.8,-12.7,16.4,-10.0,10.0,9.1,52.7,54.5,52.7,11.8,-3.6,-10.9,18.2,-2.7,27.3,21.8,19.1,7.3
2002-07-31,-20.0,-17.0,-24.0,-11.0,-8.0,-20.0,15.0,-15.0,2.0,-6.0,45.0,46.0,42.0,13.0,-13.0,-1.0,26.0,-12.0,17.0,13.0,15.0,6.0
2002-08-31,8.0,9.0,17.0,-8.0,-10.0,-11.0,13.0,-13.0,1.0,1.0,44.0,41.0,41.0,11.0,-7.0,-12.0,22.0,-8.0,17.0,5.0,13.0,2.0
2002-09-30,12.9,14.9,20.8,-9.9,-7.9,-10.9,5.0,-13.9,-2.0,3.0,45.5,46.5,43.6,10.9,-6.9,-4.0,8.9,-12.9,15.8,13.9,26.7,16.8
2002-10-31,-14.7,-3.9,2.9,-13.7,-9.8,-3.9,11.8,-10.8,-7.8,-8.8,48.0,47.1,50.0,11.8,-1.0,2.0,13.7,4.9,13.7,10.8,16.7,6.9
2002-11-30,-6.0,-7.0,-5.0,-16.0,-15.0,-16.0,9.0,-14.0,-12.0,-5.0,53.0,54.0,50.0,9.0,-3.0,0.0,10.0,-9.0,11.0,9.0,17.0,3.0
2002-12-31,-10.9,-6.9,-7.9,-13.9,-12.9,-17.8,3.0,-11.9,-12.9,-6.9,58.4,58.4,51.5,23.8,-4.0,-6.9,7.9,-10.9,19.8,21.8,18.8,10.9
2003-01-31,15.4,14.4,9.6,-18.3,-9.6,-5.8,6.7,-17.3,-8.7,-4.8,59.6,57.7,57.7,29.8,2.9,3.8,14.4,-3.8,21.2,22.1,18.3,11.5
2003-02-28,3.1,13.3,9.2,-4.1,-9.2,6.1,18.4,-14.3,0.0,4.1,53.1,55.1,55.1,19.4,-4.1,3.1,18.4,-7.1,21.4,14.3,15.3,8.2
2003-03-31,18.9,20.0,20.0,-3.3,-5.6,-3.3,13.3,-18.9,-6.7,-3.3,45.6,42.2,46.7,14.4,-1.1,-2.2,12.2,-4.4,10.0,7.8,10.0,5.6
2003-04-30,-6.5,0.0,5.4,-19.6,-14.1,-14.1,23.9,-8.7,-9.8,-12.0,48.9,52.2,54.3,22.8,-1.1,-10.9,8.7,4.3,22.8,13.0,9.8,5.4
2003-05-31,24.7,22.6,24.7,0.0,0.0,-6.5,14.0,-12.9,4.3,3.2,53.8,51.6,49.5,17.2,-3.2,-14.0,14.0,-12.9,26.9,22.6,21.5,9.7
2003-06-30,24.5,17.3,20.4,2.0,3.1,-2.0,-2.0,-13.3,0.0,2.0,49.0,42.9,45.9,11.2,-5.1,-5.1,15.3,-7.1,15.3,16.3,15.3,7.1
2003-07-31,2.1,-1.1,2.1,-10.5,-6.3,-3.2,6.3,-13.7,-9.5,-9.5,46.3,42.1,38.9,9.5,-10.5,-7.4,8.4,-7.4,14.7,10.5,21.1,13.7
2003-08-31,15.3,18.4,32.7,0.0,-6.1,-5.1,4.1,-10.2,0.0,3.1,49.0,49.0,50.0,9.2,-4.1,10.2,14.3,-3.1,16.3,15.3,16.3,15.3
2003-09-30,26.6,22.9,24.8,-6.4,-5.5,-4.6,15.6,-8.3,-0.9,14.7,45.9,42.2,44.0,5.5,-0.9,0.9,26.6,5.5,17.4,10.1,20.2,12.8
2003-10-31,29.8,26.9,26.0,4.8,1.0,-12.5,7.7,-10.6,11.5,9.6,57.7,55.8,52.9,19.2,-4.8,4.8,27.9,4.8,21.2,8.7,25.0,16.3
2003-11-30,24.6,23.7,20.3,-7.6,-5.9,2.5,9.3,-4.2,9.3,8.5,64.4,60.2,58.5,13.6,-3.4,9.3,20.3,3.4,25.4,13.6,30.5,30.5
2003-12-31,15.4,4.8,13.5,-1.9,0.0,4.8,12.5,-1.0,11.5,3.8,71.2,71.2,69.2,22.1,1.0,8.7,31.7,20.2,33.7,22.1,42.3,30.8
2004-01-31,39.4,35.6,33.7,3.8,-1.0,-1.9,27.9,3.8,16.3,9.6,69.2,66.3,68.3,27.9,7.7,12.5,35.6,18.3,29.8,25.0,26.9,22.1
2004-02-29,42.2,37.9,26.7,12.9,3.4,8.6,33.6,3.4,19.0,20.7,63.8,62.9,61.2,21.6,4.3,8.6,40.5,13.8,37.1,19.8,32.8,23.3
2004-03-31,45.1,46.1,45.1,16.7,10.8,3.9,50.0,11.8,17.6,19.6,62.7,59.8,56.9,17.6,-4.9,-2.0,47.1,15.7,26.5,20.6,34.3,18.6
2004-04-30,45.8,44.9,47.7,13.1,9.3,-0.9,57.0,13.1,24.3,28.0,56.1,53.3,54.2,14.0,2.8,5.6,53.3,21.5,30.8,13.1,37.4,18.7
2004-05-31,45.8,48.3,54.2,20.8,12.5,2.5,56.7,17.5,30.8,29.2,50.0,49.2,50.0,15.0,0.8,0.8,51.7,25.8,34.2,19.2,31.7,19.2
2004-06-30,26.5,27.4,37.6,10.3,6.0,3.4,52.1,20.5,18.8,17.9,48.7,45.3,54.7,16.2,0.9,3.4,54.7,27.4,31.6,12.8,30.8,20.5
2004-07-31,17.9,9.4,13.7,6.8,6.0,6.0,56.4,17.9,13.7,12.0,46.2,47.0,50.4,8.5,3.4,6.8,52.1,30.8,33.3,16.2,29.1,23.1
2004-08-31,15.3,18.5,23.4,1.6,3.2,-1.6,50.0,16.1,20.2,9.7,37.1,34.7,39.5,-4.0,4.0,-4.0,53.2,21.8,7.3,3.2,21.0,19.4
2004-09-30,34.1,34.1,39.0,9.8,4.9,-1.6,52.0,16.3,20.3,14.6,50.4,43.1,48.0,6.5,-2.4,-0.8,61.8,27.6,25.2,13.0,31.7,26.0
2004-10-31,15.8,15.8,15.8,-2.5,4.2,1.7,59.2,15.0,11.7,5.0,55.0,53.3,52.5,12.5,0.0,0.8,52.5,34.2,32.5,17.5,31.7,19.2
2004-11-30,5.0,1.7,7.5,-13.3,-5.0,0.0,53.3,17.5,3.3,0.8,52.5,51.7,50.0,7.5,-1.7,0.8,55.8,28.3,20.8,6.7,29.2,20.8
2004-12-31,10.6,13.5,17.3,0.0,2.9,1.9,57.7,15.4,7.7,1.0,53.8,51.9,52.9,15.4,1.9,-3.8,62.5,26.0,25.0,9.6,26.0,23.1
2005-01-31,22.7,21.8,21.0,-0.8,-1.7,-10.9,50.4,27.7,8.4,10.9,52.1,57.1,54.6,21.8,0.8,11.8,55.5,35.3,23.5,10.9,32.8,25.2
2005-02-28,22.5,20.9,29.5,-4.7,-1.6,0.8,48.8,13.2,11.6,10.9,50.4,51.9,51.2,7.8,-3.1,-2.3,53.5,22.5,27.9,8.5,21.7,15.5
2005-03-31,35.5,29.1,37.3,-0.9,4.5,-4.5,53.6,16.4,16.4,11.8,51.8,52.7,51.8,7.3,-0.9,-6.4,58.2,30.0,28.2,15.5,32.7,20.0
2005-04-30,16.3,13.0,10.6,-2.4,-2.4,-1.6,43.1,13.8,11.4,0.0,42.3,40.7,45.5,12.2,-0.8,-3.3,52.0,23.6,24.4,9.8,30.1,23.6
2005-05-31,5.0,5.9,15.8,-8.9,-7.9,-5.9,41.6,7.9,6.9,2.0,36.6,42.6,46.5,5.0,-2.0,-3.0,47.5,5.9,24.8,8.9,22.8,6.9
2005-06-30,8.1,10.1,10.1,-12.1,-2.0,4.0,30.3,2.0,8.1,-1.0,28.3,35.4,36.4,3.0,-6.1,-8.1,44.4,13.1,14.1,10.1,14.1,11.1
2005-07-31,4.9,0.0,0.0,-2.0,-2.0,-9.8,21.6,1.0,0.0,-3.9,39.2,46.1,40.2,-1.0,-7.8,-8.8,28.4,15.7,21.6,9.8,24.5,23.5
2005-08-31,24.0,34.0,31.0,9.0,7.0,-1.0,29.0,-1.0,11.0,19.0,40.0,46.0,45.0,8.0,0.0,4.0,47.0,14.0,12.0,11.0,24.0,13.0
2005-09-30,22.5,21.3,39.3,-9.0,3.4,-6.7,53.9,10.1,12.4,9.0,27.0,33.7,30.3,2.2,-2.2,-11.2,75.3,37.1,16.9,9.0,25.8,14.6
2005-10-31,4.2,18.8,17.7,-2.1,-2.1,4.2,57.3,15.6,5.2,12.5,28.1,34.4,39.6,5.2,-1.0,-5.2,71.9,34.4,12.5,6.3,24.0,21.9
2005-11-30,7.7,9.6,10.6,1.9,-5.8,2.9,60.6,20.2,9.6,8.7,47.1,49.0,49.0,16.3,-1.0,11.5,58.7,37.5,26.0,10.6,32.7,26.0
2005-12-31,11.1,4.4,-2.2,1.1,4.4,-4.4,46.7,17.8,1.1,1.1,53.3,54.4,52.2,7.8,1.1,1.1,58.9,33.3,33.3,11.1,32.2,27.8
2006-01-31,24.7,30.1,30.1,-1.4,1.4,-12.3,46.6,27.4,9.6,8.2,54.8,57.5,56.2,20.5,-5.5,-4.1,61.6,35.6,34.2,23.3,31.5,20.5
2006-02-28,25.2,31.8,31.8,7.5,2.8,-2.8,53.3,21.5,8.4,8.4,48.6,57.0,54.2,11.2,10.3,-2.8,57.0,27.1,31.8,19.6,41.1,22.4
2006-03-31,43.6,43.6,50.4,19.7,9.4,8.5,39.3,12.8,22.2,25.6,46.2,40.2,41.9,3.4,-1.7,-6.0,49.6,26.5,23.1,17.1,37.6,24.8
2006-04-30,26.6,24.2,21.8,0.0,1.6,1.6,37.9,14.5,18.5,8.9,45.2,46.8,47.6,8.1,6.5,-4.8,50.0,25.8,25.0,14.5,37.9,20.2
2006-05-31,28.5,28.5,30.1,8.1,7.3,1.6,43.1,14.6,15.4,13.8,28.5,33.3,31.7,4.9,-0.8,-4.9,59.3,32.5,23.6,6.5,32.5,17.9
2006-06-30,26.4,26.4,33.1,9.9,5.8,-9.1,52.9,19.0,5.8,11.6,24.2,22.5,19.2,0.8,-1.7,-2.5,62.5,35.8,12.5,3.3,20.0,15.8
2006-07-31,0.0,-5.5,-5.5,0.9,4.6,-12.8,50.5,16.5,4.6,5.5,38.5,36.7,31.2,1.8,-1.8,-11.9,60.6,36.7,17.4,5.5,22.0,14.7
2006-08-31,11.5,20.5,23.8,-1.6,1.6,-10.7,44.3,14.8,7.4,13.9,24.6,26.2,27.9,-3.3,-9.0,-2.5,54.9,34.4,18.0,4.1,26.2,16.4
2006-09-30,20.0,21.0,32.0,-3.0,0.0,-4.0,41.0,16.0,14.0,23.0,23.0,28.0,30.0,1.0,-9.0,-9.0,52.0,37.0,17.0,7.0,36.0,22.0
2006-10-31,11.7,6.7,15.8,-3.3,-5.0,2.5,30.8,17.5,16.7,14.2,22.7,26.9,26.1,7.6,-4.2,-1.7,39.5,26.9,21.8,7.6,30.3,17.6
2006-11-30,13.2,7.5,12.3,0.0,4.7,3.8,34.9,17.0,19.8,10.4,40.6,42.5,45.3,9.4,-2.8,-4.7,45.3,27.4,20.8,5.7,31.1,17.0
2006-12-31,7.7,2.2,6.7,-14.6,1.1,-7.9,28.1,13.5,9.0,7.9,51.6,54.9,49.4,10.1,3.4,13.5,47.2,32.6,32.6,15.7,39.3,28.1
2007-01-31,13.8,16.0,16.0,-8.5,-5.3,-19.1,35.1,19.1,5.3,-1.1,46.8,48.9,44.7,3.2,-1.1,2.1,45.7,26.6,33.0,17.0,31.9,22.3
2007-02-28,29.0,25.8,29.0,0.0,-3.2,-7.5,26.9,12.9,14.0,5.4,48.4,47.3,51.6,18.3,6.5,6.5,37.6,24.7,32.3,19.4,31.2,23.7
2007-03-31,25.6,23.3,39.5,-8.1,-4.7,-4.7,30.2,10.5,17.4,12.8,41.9,46.5,50.0,4.7,7.0,-3.5,45.3,33.7,24.4,7.0,32.6,17.4
2007-04-30,13.1,10.7,10.7,-8.3,1.2,7.1,40.5,7.1,7.1,1.2,36.9,38.1,44.0,3.6,2.4,0.0,42.9,15.5,23.8,14.3,27.4,14.3
2007-05-31,18.9,17.8,24.4,0.0,-4.4,0.0,34.4,15.6,15.6,11.1,46.7,41.1,48.9,5.6,-6.7,1.1,53.3,32.2,33.3,7.8,34.4,26.7
2007-06-30,24.5,20.2,35.1,-2.1,-1.1,3.2,42.6,9.6,4.3,3.2,35.1,34.0,34.0,2.1,-1.1,1.1,48.9,19.1,14.9,7.4,18.1,18.1
2007-07-31,9.9,8.6,11.1,2.5,-6.2,-19.8,34.6,8.6,11.1,6.2,45.7,43.2,46.9,2.5,-8.6,-2.5,43.2,28.4,28.4,9.9,29.6,22.2
2007-08-31,22.6,23.7,35.5,1.1,6.5,-2.2,34.4,3.2,11.8,16.1,38.7,29.0,30.1,-7.5,2.2,-12.9,38.7,21.5,23.7,3.2,26.9,14.0
2007-09-30,19.1,19.1,17.0,-2.1,3.2,3.2,35.1,11.7,19.1,9.6,37.2,33.0,41.5,5.3,0.0,3.2,46.8,27.7,27.7,4.3,22.3,14.9
2007-10-31,19.8,18.6,22.1,3.5,2.3,3.5,36.0,15.1,17.4,23.3,43.0,40.7,45.3,9.3,-1.2,-1.2,50.0,25.6,34.9,19.8,27.9,19.8
2007-11-30,14.3,10.7,17.9,-1.2,-7.1,-1.2,42.9,11.9,7.1,4.8,34.5,35.7,35.7,6.0,-1.2,0.0,59.5,28.6,22.6,10.7,19.0,11.9
2007-12-31,-5.0,-7.5,-2.5,-10.0,5.0,-10.0,35.0,12.5,5.0,-7.5,43.8,42.5,42.5,-2.5,-5.0,7.5,55.0,37.5,28.8,13.8,23.8,15.0
2008-01-31,12.2,4.9,15.9,1.2,-4.9,-4.9,40.2,18.3,2.4,4.9,35.4,34.1,37.8,7.3,-2.4,-3.7,54.9,26.8,22.0,18.3,23.2,17.1
2008-02-29,-2.1,0.0,1.1,-1.1,0.0,0.0,47.4,17.9,-2.1,0.0,33.7,35.8,38.9,8.4,-3.2,12.6,54.7,27.4,12.6,5.3,16.8,16.8
2008-03-31,-2.2,12.4,15.7,1.1,5.6,-4.5,50.6,15.7,4.5,0.0,32.6,34.8,36.0,9.0,4.5,-1.1,57.3,32.6,32.6,18.0,18.0,10.1
2008-04-30,6.3,3.1,14.6,-6.3,-3.1,-4.2,57.3,20.8,0.0,0.0,22.9,34.4,30.2,5.2,-7.3,-4.2,61.5,34.4,6.3,7.3,11.5,10.4
2008-05-31,5.4,7.6,10.9,-4.3,0.0,-6.5,69.6,15.2,1.1,1.1,20.7,17.4,21.7,1.1,-9.8,-4.3,64.1,30.4,9.8,-5.4,13.0,5.4
2008-06-30,-7.0,-2.3,4.7,-10.5,-7.0,-2.3,66.3,26.7,1.2,-2.3,19.8,14.0,14.0,-3.5,-8.1,-7.0,73.3,47.7,11.6,-3.5,22.1,9.3
2008-07-31,-21.1,-9.5,-3.2,-8.4,-2.1,-14.7,77.9,32.6,-6.3,-8.4,11.6,23.2,21.1,2.1,-18.9,-4.2,74.7,47.4,9.5,2.1,11.6,6.3
2008-08-31,-1.1,0.0,4.5,-9.0,-3.4,5.6,65.2,32.6,-4.5,1.1,23.6,34.8,33.7,3.4,-9.0,3.4,69.7,52.8,12.4,6.7,14.6,5.6
2008-09-30,-4.6,8.0,12.6,-3.4,-4.6,-2.3,44.8,24.1,-4.6,-5.7,32.2,34.5,40.2,-1.1,-2.3,0.0,48.3,42.5,16.1,4.6,16.1,14.9
2008-10-31,-31.7,-23.2,-14.6,-12.2,-9.8,-17.1,31.7,20.7,-3.7,-9.8,15.9,14.6,19.5,1.2,-2.4,-20.7,40.2,36.6,-2.4,-7.3,6.1,7.3
2008-11-30,-34.9,-33.7,-27.7,-24.1,-4.8,-26.5,20.5,6.0,-28.9,-25.3,14.5,20.5,16.9,-1.2,1.2,-6.0,25.3,3.6,-7.2,-6.0,-10.8,-8.4
2008-12-31,-40.4,-41.5,-31.9,-27.7,-9.6,-17.0,-7.4,-11.7,-23.4,-26.6,28.7,27.7,31.9,5.3,-7.4,-11.7,3.2,3.2,3.2,-1.1,-10.6,-12.8
2009-01-31,-21.6,-20.5,-14.8,-26.1,-18.2,-19.3,-18.2,-3.4,-26.1,-23.9,10.2,9.1,11.4,-6.8,-14.8,-11.4,4.5,5.7,-1.1,-3.4,-11.4,-15.9
2009-02-28,-28.7,-19.5,-6.9,-24.1,-12.6,-8.0,-13.8,-20.7,-39.1,-31.0,5.7,11.5,17.2,-11.5,-10.3,-13.8,-2.3,-9.2,-16.1,-13.8,-11.5,-19.5
2009-03-31,-22.5,-31.5,-10.1,-23.6,-12.4,-27.0,-14.6,-23.6,-38.2,-23.6,11.2,11.2,12.4,-10.1,-9.0,-20.2,0.0,-14.6,-23.6,-5.6,-19.1,-23.6
2009-04-30,-9.0,-2.2,-2.2,-18.0,-5.6,-36.0,-14.6,-18.0,-28.1,-28.1,34.8,34.8,33.7,7.9,-4.5,-21.3,7.9,-2.2,-4.5,9.0,-1.1,-4.5
2009-05-31,3.4,-2.3,5.7,-10.2,-13.6,-21.6,-11.4,-27.3,-23.9,-22.7,39.8,40.9,37.5,9.1,-5.7,-10.2,9.1,-2.3,4.5,4.5,-1.1,-4.5
2009-06-30,-8.0,-6.9,4.6,-10.3,-10.3,-25.3,-5.7,-12.6,-21.8,-21.8,37.9,32.2,35.6,1.1,-1.1,-8.0,10.3,-5.7,10.3,6.9,11.5,1.1
2009-07-31,-13.5,-7.3,-4.2,-12.5,-14.6,-36.5,10.4,-8.3,-20.8,-19.8,30.2,28.1,30.2,0.0,-5.2,-13.5,26.0,-5.2,4.2,4.2,2.1,1.0
2009-08-31,12.8,17.0,19.1,-9.6,-10.6,-22.3,13.8,-12.8,-7.4,-6.4,42.6,40.4,35.1,6.4,-10.6,-6.4,31.9,5.3,8.5,14.9,18.1,14.9
2009-09-30,23.8,25.0,20.2,-4.8,1.2,-25.0,20.2,-3.6,-8.3,6.0,44.0,33.3,32.1,6.0,-1.2,-17.9,36.9,9.5,3.6,15.5,14.3,10.7
2009-10-31,27.3,26.0,29.9,2.6,3.9,-18.2,19.5,-5.2,10.4,20.8,51.9,46.8,48.1,10.4,-6.5,-5.2,24.7,10.4,16.9,20.8,18.2,13.0
2009-11-30,13.2,5.3,2.6,-2.6,-2.6,-17.1,10.5,-2.6,1.3,5.3,57.9,53.9,50.0,15.8,-3.9,7.9,48.7,27.6,28.9,18.4,21.1,14.5
2009-12-31,-7.9,-11.8,-13.2,-21.1,-2.6,-18.4,19.7,-9.2,-5.3,-5.3,52.6,48.7,43.4,11.8,0.0,7.9,40.8,22.4,21.1,19.7,30.3,13.2
2010-01-31,20.0,22.7,20.0,2.7,6.7,-17.3,32.0,2.7,4.0,5.3,56.0,52.0,54.7,22.7,-1.3,5.3,54.7,20.0,26.7,18.7,33.3,13.3
2010-02-28,26.4,15.3,18.1,2.8,-6.9,0.0,31.9,4.2,5.6,8.3,52.8,55.6,55.6,11.1,4.2,12.5,50.0,20.8,27.8,26.4,27.8,12.5
2010-03-31,33.3,38.3,40.7,4.9,2.5,4.9,29.6,8.6,12.3,12.3,54.3,51.9,43.2,16.0,1.2,7.4,42.0,17.3,17.3,17.3,27.2,13.6
2010-04-30,36.7,30.4,31.6,-3.8,2.5,11.4,41.8,6.3,20.3,13.9,55.7,46.8,41.8,0.0,-7.6,3.8,43.0,15.2,29.1,-1.3,31.6,20.3
2010-05-31,27.6,19.7,15.8,-7.9,-6.6,1.3,44.7,5.3,22.4,0.0,42.1,39.5,35.5,18.4,-5.3,-1.3,46.1,23.7,28.9,5.3,38.2,21.1
2010-06-30,21.0,18.5,23.5,-1.2,9.9,-1.2,27.2,4.9,12.3,8.6,40.7,38.3,37.0,6.2,0.0,-1.2,42.0,28.4,28.4,6.2,28.4,13.6
2010-07-31,-7.9,-1.6,-6.3,-15.9,-7.9,6.3,25.4,-1.6,7.9,-9.5,41.3,34.9,31.7,4.8,-3.2,0.0,41.3,17.5,14.3,-1.6,14.3,4.8
2010-08-31,10.0,4.3,-2.9,-10.0,0.0,2.9,20.0,-2.9,14.3,7.1,35.7,31.4,25.7,4.3,-5.7,2.9,30.0,22.9,20.0,7.1,22.9,8.6
2010-09-30,11.9,11.9,13.4,-6.0,-11.9,1.5,22.4,1.5,14.9,7.5,31.3,25.4,28.4,-4.5,-6.0,3.0,35.8,14.9,16.4,6.0,25.4,14.9
2010-10-31,10.0,8.3,16.7,-1.7,-6.7,-11.7,30.0,8.3,21.7,3.3,40.0,31.7,38.3,5.0,5.0,10.0,40.0,20.0,26.7,11.7,25.0,13.3
2010-11-30,-19.5,-35.1,-16.9,-24.7,-9.1,0.0,22.1,-2.6,9.1,-13.0,54.5,53.2,45.5,13.0,-2.6,13.0,40.3,35.1,28.6,13.0,23.4,10.4
2010-12-31,-2.3,-14.8,-13.6,-18.2,-6.8,-15.9,28.4,3.4,-3.4,-14.8,48.9,53.4,53.4,14.8,4.5,-1.1,58.0,38.6,29.5,17.0,22.7,19.3
2011-01-31,14.7,14.7,25.3,-11.6,-6.3,4.2,35.8,15.8,8.4,2.1,58.9,53.7,52.6,9.5,8.4,14.7,60.0,42.1,24.2,15.8,34.7,22.1
2011-02-28,16.9,13.3,12.0,-4.8,0.0,9.6,45.8,16.9,3.6,6.0,49.4,44.6,44.6,4.8,13.3,13.3,55.4,27.7,24.1,18.1,27.7,18.1
2011-03-31,24.7,19.5,18.2,2.6,-1.3,3.9,53.2,20.8,9.1,15.6,49.4,42.9,40.3,6.5,-5.2,7.8,71.4,36.4,23.4,10.4,22.1,6.5
2011-04-30,28.2,24.4,28.2,2.6,-1.3,-1.3,57.7,26.9,23.1,10.3,47.4,43.6,37.2,7.7,-2.6,14.1,56.4,38.5,32.1,6.4,29.5,17.9
